,Unnamed: 0,id,texto,fecha
122,122,1516540019124711438,colombianos acompáñenme 🫶🏻🇨🇴los espero 🙌🏻rodolfohernandez rodolfopresidente ligaanrrupcion elecciones2022 ,2022-04-19 22:11:31+00:00
123,123,1516521238138654730,¡es en equipo que debemos trabajar! 🤜🏻❤️🤛🏻rodolfohernandez rodolfopresidente ligaanrrupcion elecciones2022 ,2022-04-19 20:56:53+00:00
124,124,1516479149904633857,pueden dar por hecho que la paloma de la paz de botero va a estar en la casa de nariño  pero la paz no va a ser un hecho de un museo  sino que estará viva en todo el país  en mi gobierno  🕊✌🏼🇨🇴 rodolfopresidente rodolfohernandez ,2022-04-19 18:09:38+00:00
125,125,1516478356585422852,unsaludoalabandera es hacer propuestas sin tener idea de cómo implementarlas  yo sé crear empleo  sé crear riqueza  y cada cosa que digo es porque sé como hacerla una realidad  rodolfopresidente 🇨🇴,2022-04-19 18:06:29+00:00
126,126,1516459454069460997,la pobreza es la peor inmoralidad en un país tan rico como colombia! 🙌🏻🇨🇴rodolfohernandez rodolfopresidente ligaanrrupcion elecciones2022 ,2022-04-19 16:51:22+00:00
127,127,1516417542427918339,hayquemejorar cada día para cambiar el país  el cambio no comienza el 29 de mayo  el cambio comienza hoy  con cada decisión que tomamos  rodolfopresidente rodolfohernandez election2022,2022-04-19 14:04:50+00:00
128,128,1516178976837976086,yo no prometo  yo lo que les digo es lo que voy hacer y cómo voy a gobernar ¡lo primero es el trabajo para todos y todas! 💪🏻💙💛rodolfohernandez rodolfopresidente ligaanrrupcion elecciones2022 ,2022-04-18 22:16:51+00:00
129,129,1516133364251648000,¡su voto por mí es para acabar con la robadera! 🙌🏻💛💙rodolfohernandez rodolfopresidente ligaanrrupcion elecciones2022 ,2022-04-18 19:15:37+00:00
130,130,1516072528086773775,unatrampaes hacernos creer que estamos condenados a continuar con la pesadilla de duque  ahora con cara de fico  rodolfopresidente ,2022-04-18 15:13:52+00:00
131,131,1516058644302995460,unatrampaes hacernos creer que petro y fico son las únicas dos opciones rodolfopresidente,2022-04-18 14:18:42+00:00
132,132,1516053934061895688,estaremos atentos a lo que hoy se presente por parte del ente investigativo con la total tranquilidad de que en ningún momento actué en contrariedad de la ley  4/4,2022-04-18 13:59:59+00:00
