,id,tweet,fecha_hora
120,1520221893936177153,soy de los que seguirá firme con todos los que me han apoyado y creen en un país que merece un cambio para construir  firmeconfajardo,2022-04-30 02:01:58+00:00
121,1520220920828375042,gracias angélica! como dice   tenemos 30 días y 30 noches para lograrlo ,2022-04-30 01:58:06+00:00
122,1520201824841736192,ni una más ,2022-04-30 00:42:13+00:00
123,1520192424789909504,¡la vuelta al caribe sigue en riohacha! la brisa del mar nos recibe mientras caminamos por el parque padilla y la primera  para contarle a la gente nuestras propuestas para cambiar a colombia  firmeconfajardo  ,2022-04-30 00:04:52+00:00
124,1520167740761387008,por eso  tendremos una política seria y responsable de salud pública que reduzca y mitigue los riesgos y daños asociados al consumo problemá  y nunca sobra repetir: ¡nunca más al glifosato! loprogramáespolí,2022-04-29 22:26:47+00:00
125,1520167739477970948,la mejor forma de proteger a las niñas y niños es quitándole el negocio a los criminales y apoyando a todos aquellos que tengan un consumo problemá  no persiguiéndolos  loprogramáespolí,2022-04-29 22:26:47+00:00
126,1520167738328686594,la ciencia y la tecnología jugarán un rol fundamental  fomentaremos la investigación de estas plantas para conocer mejor sus características  riesgos  prioridades  potencialidades  nuestra riqueza ambiental  en vez de estigmatizarla  debe ser aprovechada sosteniblemente ,2022-04-29 22:26:46+00:00
127,1520167736818741252,ese camino es la regulación  este es un camino largo y nosotros daremos los primeros pasos  empezaremos por la regulación del cannabis para uso adulto  seguiremos con el reconocimiento de los usos ancestrales  medicinales y nutricionales de la hoja de coca ,2022-04-29 22:26:46+00:00
128,1520167733295521793,la guerra contra las drogas fracasó  después de más de 50 años  esta política nos ha dejado muertes  tragedias familiares  corrupción  deforestación  contaminación de ríos y masacres diarias  es hora de cambiar de enfoque  de rumbo  🧵loprogramáespolí  ,2022-04-29 22:26:45+00:00
129,1520141655713714176,¡arrancamos nuestra vuelta al caribe! estamos ya en valledupar con  para tomarnos esta región com nuestras propuestas  ¡aquí seguimos hasta el final! firmeconfajardo 💪🏽🇨🇴 ,2022-04-29 20:43:08+00:00
130,1520129594933788672,entramos a la política para transformarla  por convicción y por el fin superior que es colombia  hoy reiteramos que vamos para adelante  sabemos luchar y vamos a demostrar en estos 30 días que somos la mejor opción de cambio  firmeconfajardo ,2022-04-29 19:55:12+00:00
131,1520120915195047936,de una región que merece un gobierno que la haga su prioridad💪💙💚,2022-04-29 19:20:43+00:00
132,1520109161429835778,como* 😬,2022-04-29 18:34:01+00:00
133,1520108289547280385,gracias julián por tanto empuje  cómo tú espero que sean muchos los jóvenes que entren en política y tomen las riendas de su presente ,2022-04-29 18:30:33+00:00
134,1520107989587447808,_cal firmeconfajardo,2022-04-29 18:29:21+00:00
